,comment,course_id,ratio
865,The course material is not sufficient to work out the exercises. For the Spark final quiz you will have to take up another course to pass this one. ,uWrCG9mpEeWkdgqomU4otw,0.7333333333333333
866,"The virtual machine for running the environment is, at start, a good idea. But even with 8 core i7 with 8G of RAM laptop, it was sometime painful to process the exercices. Maybe an ubuntu virtualbox laptop compatibility...",uWrCG9mpEeWkdgqomU4otw,0.6136363636363636
867,The final quiz was a bit tough and needed understanding and googling,uWrCG9mpEeWkdgqomU4otw,0.75
868,"Very interesting course, and a good practical exercise at the end",uWrCG9mpEeWkdgqomU4otw,0.9166666666666666
869,"What a great relief, after passing that last quiz, it took my entire Memorial Day weekend, after the Microsoft Windows 10 Creators upgrade totally ruined my Virtualbox installation for the Cloudera QuickStart VM. Looks like that is a very very good quiz. ",uWrCG9mpEeWkdgqomU4otw,0.5531914893617021
870,"Great course, only a bit difficult on Spark assignment for the people that are not familiar or a bit rusty with python and programming.Thanks againluca",uWrCG9mpEeWkdgqomU4otw,0.7857142857142857
871,It was A greate course ,uWrCG9mpEeWkdgqomU4otw,0.8
872,Excellent!,uWrCG9mpEeWkdgqomU4otw,0.5
873,the quiz at the end is impossible to solve with the course content.,uWrCG9mpEeWkdgqomU4otw,0.7857142857142857
874,"Excellent course design, it gives you basic of MongoDB, Splunk and Apache Spark. Happy learning and think BIG DATA",uWrCG9mpEeWkdgqomU4otw,0.6818181818181818
875,"Very good course, and challenging, by the way. Thanks a lot!",uWrCG9mpEeWkdgqomU4otw,0.6666666666666666
876,Excellent course and very demanding! I really enjoyed. ,uWrCG9mpEeWkdgqomU4otw,0.7
877,Get a better description in the week 6,uWrCG9mpEeWkdgqomU4otw,0.875
878,"the course content is critical and as it appears in many interviews, and the fundamental understanding is important for beginners to learn this new area. however I think the software spark or mongoDB can be taught in a more systematic way at least point out some resources that can help people learn them based on individual needs . I understand this course is for beginners and people supposed to learn deeper on themselves. but a road map will be helpful and reduce the pain finishing the tests.",uWrCG9mpEeWkdgqomU4otw,0.6043956043956044
879,I enjoyed this course. I learnt a lot of stuff about Big Data processing in a simple and clear way.,uWrCG9mpEeWkdgqomU4otw,0.7272727272727273
880,Pros covers lots of good topics about Big DataCons No real big data exercise,uWrCG9mpEeWkdgqomU4otw,0.6428571428571429
881,"We need more exercises to use phyton and spark because with only the examples the hands on quizes are very complicated and I feel that I'm not understanding very well how to use the bigdata tools, is more like error and proof than real learningthanks a lot!!!",uWrCG9mpEeWkdgqomU4otw,0.6274509803921569
882,The materials explaining the course are too poor. This is a core course in the specialization.The quizzes are out of the material's league,uWrCG9mpEeWkdgqomU4otw,0.6071428571428571
883,"Very Good Course! I'd never used spark before, and doing and passing the assignment on it was very rewarding!",uWrCG9mpEeWkdgqomU4otw,0.75
884,"This course is more hands on than previous courses, I've found it very interesting and useful",uWrCG9mpEeWkdgqomU4otw,0.7368421052631579
885,One of the best ways to start to be in contact with the real Big Data Tools,uWrCG9mpEeWkdgqomU4otw,0.8235294117647058
886,Thank you. Spark in this course is very helpful.,uWrCG9mpEeWkdgqomU4otw,0.8181818181818182
887,Course was excellent. I liked the hands on sessions the most. Not too easy and not too difficult. They encourage you to explore more and learn more.,uWrCG9mpEeWkdgqomU4otw,0.6451612903225806
888,The VM doesn't work out of the box sometimes for the hands on activities,uWrCG9mpEeWkdgqomU4otw,0.5
889,"A little slower than the last ones, not my favorite but great use of hands-on projects and enagagement",uWrCG9mpEeWkdgqomU4otw,0.6666666666666666
